elapsed_min,km,pace,hr,cad,power,alt,moved_m,grade_pct,ngp
0.0,0.08,6:28,104,88,174,61.5,82,0.1,6:29
0.5,0.17,6:01,121,90,196,62.2,86,0.5,5:55
1.0,0.25,6:01,131,90,205,63.8,83,1.7,5:41
1.5,0.34,5:53,136,90,224,67.0,85,3.5,5:10
2.0,0.41,6:12,139,90,240,72.6,76,6.4,4:49
2.5,0.47,7:14,137,90,236,80.2,57,10.6,4:39
3.0,0.52,9:41,132,75,226,90.1,47,19.2,4:19
3.5,0.59,8:05,125,82,201,97.8,71,14.9,4:25
4.0,0.67,6:16,131,88,202,102.1,79,6.4,4:51
4.5,0.75,6:13,135,91,143,95.9,86,-5.2,6:42
5.0,0.83,6:02,138,89,197,90.5,80,-9.1,6:51
5.5,0.91,6:13,153,89,228,95.7,80,5.9,4:55
6.0,0.99,6:20,166,90,223,100.5,79,6.0,5:01
6.5,1.04,8:03,154,82,201,106.4,48,9.6,5:29
7.0,1.08,11:47,144,59,168,113.4,42,16.5,5:49
7.5,1.11,13:59,140,54,174,121.0,32,20.5,5:49
8.0,1.14,14:50,142,30,178,130.2,30,27.7,4:43
8.5,1.18,14:39,142,33,164,138.4,36,24.5,5:13
9.0,1.22,13:31,146,47,153,145.4,40,19.7,5:49
9.5,1.25,14:19,144,38,165,152.8,31,20.6,5:54
10.0,1.28,15:13,144,33,166,160.5,26,23.1,5:42
10.5,1.31,15:16,145,38,158,168.4,32,24.5,5:26
11.0,1.34,15:03,144,55,168,176.7,33,25.0,5:15
11.5,1.37,15:26,146,47,160,184.6,29,24.4,5:30
12.0,1.4,15:35,147,29,168,192.9,32,25.5,5:19
12.5,1.42,17:08,143,43,121,198.9,19,27.0,6:37
13.0,1.46,13:46,137,32,155,204.8,41,14.8,7:17
13.5,1.49,14:24,138,40,145,211.8,26,21.2,5:53
14.0,1.52,14:43,133,46,106,215.4,30,14.3,8:29
14.5,1.56,12:15,130,39,160,220.9,40,12.2,7:18
15.0,1.61,10:51,131,65,196,229.0,51,17.0,5:15
15.5,1.61,21:10,137,69,56,231.9,5,34.0,7:35
16.0,1.64,13:35,131,77,79,231.5,30,-1.6,13:53
16.5,1.69,10:48,132,82,107,229.9,47,-4.2,12:05
17.0,1.72,13:18,133,66,142,234.3,32,11.3,8:21
17.5,1.77,11:33,127,84,90,234.2,44,4.7,8:42
18.0,1.8,17:50,113,58,75,231.6,31,-15.7,15:43
18.5,1.84,12:37,107,76,137,235.6,41,9.0,8:36
19.0,1.89,10:03,132,86,91,231.0,52,-7.1,9:00
19.5,1.91,18:56,133,58,51,228.4,19,-12.1,19:48
20.0,1.93,24:26,126,61,36,224.3,19,-18.9,23:01
20.5,1.93,31:19,119,58,28,220.2,5,-27.1,22:45
21.0,1.96,18:42,113,65,48,215.9,26,-16.7,19:46
21.5,2.02,11:26,133,95,87,204.8,56,-22.1,10:07
22.0,2.06,8:22,140,88,218,200.7,49,-13.3,7:17
22.5,2.14,8:22,144,89,143,205.7,73,11.6,4:59
23.0,2.18,12:09,146,70,153,208.0,43,1.8,10:43
23.5,2.24,7:14,143,82,182,211.3,62,5.4,5:48
24.0,2.29,8:56,146,90,120,211.6,52,3.6,7:36
24.5,2.35,9:21,156,94,105,200.6,59,-21.0,8:07
25.0,2.42,8:23,166,96,106,192.1,66,-12.6,9:17
25.5,2.45,11:36,175,84,79,181.4,31,-26.4,8:50
26.0,2.52,8:35,176,95,124,169.4,71,-22.6,7:31
26.5,2.56,9:48,163,76,235,174.9,42,8.0,6:08
27.0,2.6,13:35,153,49,158,183.4,35,25.2,4:39
27.5,2.62,28:54,146,57,110,189.6,20,41.2,7:14
28.0,2.67,13:46,148,63,155,196.1,54,20.9,6:13
28.5,2.71,9:10,152,62,188,202.7,36,12.7,5:27
29.0,2.76,13:59,153,59,155,210.3,47,23.4,5:25
29.5,2.81,8:13,157,89,136,210.8,55,4.1,6:47
30.0,2.86,9:07,152,82,156,205.0,52,-14.4,9:16
30.5,2.92,8:27,152,86,137,205.6,54,1.6,7:28
31.0,2.98,8:42,152,83,184,209.8,66,4.6,6:38
31.5,3.06,7:13,159,85,168,212.3,74,4.8,6:00
32.0,3.11,9:32,155,77,106,209.5,50,-4.6,10:31
32.5,3.17,8:13,161,85,230,214.4,60,4.4,6:15
33.0,3.22,9:25,163,83,229,223.7,50,17.0,4:33
33.5,3.29,8:08,161,87,146,227.2,68,9.6,5:15
34.0,3.36,7:28,170,87,188,229.9,71,3.6,6:18
34.5,3.41,7:47,170,86,187,232.1,55,2.4,6:59
35.0,3.48,7:46,164,86,156,233.9,73,3.5,6:46
35.5,3.56,7:16,160,86,146,232.1,71,-1.9,7:34
36.0,3.62,7:15,150,89,174,233.8,67,2.3,6:35
36.5,3.69,7:18,157,97,122,223.3,69,-11.5,7:20
37.0,3.75,7:42,161,88,118,211.1,64,-21.2,6:47
37.5,3.81,7:56,159,87,210,212.3,51,-1.7,7:39
