elapsed_min,km,pace,hr,cad,power,alt,moved_m,grade_pct,ngp
0.0,0.07,6:39,139,87,207,49.8,70,5.4,5:23
0.5,0.15,6:25,140,87,220,53.4,76,5.2,5:15
1.0,0.21,6:59,145,87,236,60.7,69,9.7,4:41
1.5,0.28,7:31,146,84,183,66.6,69,10.4,4:52
2.0,0.37,6:22,141,88,173,66.6,90,0.8,6:12
2.5,0.46,5:46,136,88,192,65.5,81,-1.4,6:01
3.0,0.48,14:31,125,59,94,66.4,27,2.4,13:33
3.5,0.49,32:27,94,45,37,67.3,11,9.5,22:02
4.0,0.57,6:33,93,82,178,67.6,81,0.3,6:29
4.5,0.67,5:30,120,90,206,67.7,93,0.2,5:29
5.0,0.76,5:27,132,90,207,67.1,89,-0.6,5:34
5.5,0.84,5:46,134,90,199,67.3,82,0.1,5:45
6.0,0.93,5:42,131,89,195,66.5,91,-0.7,5:50
6.5,1.0,6:24,134,88,193,66.5,70,-0.6,6:32
7.0,1.08,7:15,141,88,207,71.6,79,6.4,5:33
7.5,1.16,6:13,148,87,237,77.6,81,7.4,4:37
8.0,1.19,8:47,146,76,174,82.9,29,25.4,5:29
8.5,1.2,41:09,120,75,24,83.5,7,17.5,17:03
9.0,1.21,27:53,91,57,64,84.0,10,1.2,26:53
9.5,1.25,12:16,101,81,183,90.8,50,13.4,6:40
10.0,1.31,7:23,135,83,190,96.2,60,8.8,5:06
10.5,1.35,15:47,140,58,156,102.6,31,19.6,7:01
11.0,1.4,10:17,140,79,216,111.3,54,17.1,4:57
11.5,1.45,9:37,133,82,235,122.2,53,21.0,3:56
12.0,1.52,8:41,132,82,211,131.6,67,17.6,4:05
12.5,1.57,10:28,148,75,192,139.0,48,16.0,5:26
13.0,1.62,9:42,159,77,208,147.3,52,16.2,4:54
13.5,1.66,11:01,156,60,208,157.0,41,21.7,4:25
14.0,1.71,11:31,155,59,199,166.5,49,23.0,4:27
14.5,1.77,8:13,158,82,207,174.7,58,14.2,4:31
15.0,1.85,6:16,160,87,194,177.7,86,5.1,5:08
15.5,1.9,8:11,159,84,232,184.4,43,9.7,5:26
16.0,1.97,8:23,162,86,168,190.5,74,12.5,4:55
16.5,2.03,7:53,158,91,182,193.4,60,4.4,6:35
17.0,2.1,7:11,155,101,122,184.9,70,-8.3,7:10
17.5,2.15,8:15,148,85,158,178.1,53,-15.8,8:03
18.0,2.19,11:48,149,72,195,186.1,38,17.9,5:29
18.5,2.25,9:50,152,81,199,194.7,54,18.2,4:37
19.0,2.32,6:52,159,86,197,199.6,73,7.6,5:03
19.5,2.34,18:34,153,51,157,206.5,22,25.0,6:52
20.0,2.38,17:58,150,58,146,215.0,37,32.6,4:55
20.5,2.41,14:20,149,60,156,221.5,35,18.7,6:26
21.0,2.45,14:40,151,59,183,230.6,35,25.5,5:01
21.5,2.5,10:40,158,75,197,239.7,49,20.3,4:31
22.0,2.53,12:29,155,59,159,246.0,35,16.0,6:15
22.5,2.56,15:05,151,52,154,254.0,31,24.6,5:20
23.0,2.6,13:49,144,62,73,256.5,38,26.5,8:22
23.5,2.68,6:43,147,87,185,255.1,75,-2.9,7:15
24.0,2.75,6:19,144,87,197,257.4,76,2.9,5:41
24.5,2.82,6:47,148,87,197,261.0,72,4.7,5:41
25.0,2.88,7:53,148,83,182,265.4,61,7.2,5:57
25.5,2.92,13:58,151,63,160,270.6,34,12.9,8:04
26.0,2.97,12:07,150,68,167,278.4,50,19.7,5:16
26.5,3.05,6:13,151,87,208,282.4,78,5.7,4:57
27.0,3.11,7:30,157,81,198,286.6,61,6.3,5:56
27.5,3.19,6:47,158,86,223,293.1,81,8.9,4:44
28.0,3.27,6:07,163,87,222,297.7,78,5.8,4:53
28.5,3.35,6:21,160,89,151,296.0,83,0.6,6:02
29.0,3.41,7:36,157,87,128,289.8,58,-10.1,8:51
29.5,3.48,7:22,146,98,120,280.0,74,-13.2,8:14
30.0,3.56,5:38,149,87,208,275.2,76,-7.4,6:27
30.5,3.61,9:14,152,81,177,280.0,54,7.9,6:40
31.0,3.68,7:09,154,84,192,284.7,70,8.0,5:18
31.5,3.73,8:42,155,85,146,286.6,48,4.5,7:26
32.0,3.8,7:05,145,83,180,289.0,69,2.9,6:18
32.5,3.8,22:53,139,56,56,288.7,3,4.7,20:19
33.0,3.83,14:26,123,71,62,284.4,33,-7.9,15:10
33.5,3.88,13:11,117,86,68,275.1,42,-24.6,10:30
