elapsed_min,km,pace,hr,cad,power,alt,moved_m,gct_ms,vo_mm,vr_pct,step_cm
0.0,0.08,6:03,123,85,188,19.8,76,220,89.6,8.8,97.7
0.5,0.17,5:05,142,91,225,20.0,98,206,89.5,8.4,107.3
1.0,0.27,5:07,152,91,224,20.0,98,199,86.4,8.1,107.0
1.5,0.37,5:09,156,91,222,20.0,97,200,89.2,8.3,107.0
2.0,0.47,5:12,158,90,220,20.0,96,204,87.2,8.2,106.3
2.5,0.56,5:23,157,89,215,19.7,93,212,91.6,8.7,104.3
3.0,0.65,5:25,153,89,211,19.0,92,215,95.6,9.2,104.0
3.5,0.75,5:15,152,90,219,19.0,96,204,93.4,8.8,106.0
4.0,0.84,5:18,155,89,217,19.3,94,208,90.1,8.5,105.3
4.5,0.93,5:20,154,89,218,20.0,94,210,92.1,8.8,104.8
5.0,1.03,5:23,152,88,213,19.4,93,213,92.0,8.8,104.3
5.5,1.12,5:18,150,90,209,17.7,94,214,91.5,8.7,105.0
6.0,1.23,5:11,152,89,214,16.5,113,210,86.7,8.2,107.8
6.5,1.34,5:07,153,89,226,16.2,102,203,91.1,8.3,109.1
7.0,1.43,5:11,153,88,224,16.2,96,210,97.0,8.9,109.0
7.5,1.56,4:46,154,90,240,16.0,126,202,91.5,8.0,115.9
8.0,1.64,5:19,154,90,221,16.0,78,200,88.4,8.2,103.8
8.5,1.75,6:29,153,90,176,16.0,108,228,86.1,10.2,85.0
9.0,1.84,5:45,155,90,199,16.0,93,219,87.5,9.2,96.3
9.5,1.93,5:24,156,90,212,15.5,96,215,87.2,8.6,102.1
10.0,2.03,5:15,155,91,219,15.0,96,208,86.9,8.3,104.4
10.5,2.03,5:32,155,88,209,15.0,4,217,87.0,8.3,101.0
