elapsed_min,km,pace,hr,cad,power,alt,moved_m,gct_ms,vo_mm,vr_pct,step_cm
0.0,0.09,4:52,138,94,249,22.0,88,184,70.4,6.4,109.4
0.5,0.19,4:52,155,93,237,22.0,103,195,76.8,7.0,109.5
1.0,0.29,4:55,162,93,234,22.0,104,198,77.6,7.1,109.1
1.5,0.4,4:57,166,93,243,23.3,101,202,75.7,6.9,108.7
2.0,0.49,5:01,168,92,257,25.7,97,206,74.9,6.9,108.1
2.5,0.59,5:04,169,91,261,28.6,99,211,74.5,6.9,107.3
3.0,0.69,5:13,170,90,251,31.3,97,215,79.9,7.5,106.2
3.5,0.77,6:00,165,84,181,29.5,83,236,103.8,10.5,98.9
4.0,0.86,5:38,149,87,176,26.0,88,228,100.0,9.8,102.1
4.5,0.95,5:33,144,87,204,25.0,91,223,95.1,9.2,102.8
5.0,1.04,5:31,146,87,207,25.0,90,226,97.4,9.5,103.0
5.5,1.14,5:20,149,89,205,23.2,94,217,90.9,8.7,104.7
6.0,1.23,5:17,151,90,212,21.7,94,212,90.2,8.6,105.2
6.5,1.34,4:41,157,95,244,21.0,107,197,75.7,6.8,111.4
7.0,1.44,4:53,161,93,236,21.2,102,197,76.7,7.0,109.4
7.5,1.54,5:06,166,91,225,21.1,98,203,82.4,7.7,107.2
8.0,1.63,5:13,171,90,244,23.1,96,213,81.3,7.7,105.9
8.5,1.73,5:13,172,90,246,25.1,96,214,85.5,8.1,106.0
9.0,1.82,5:20,171,89,248,27.9,94,213,88.7,8.4,104.9
9.5,1.91,5:27,173,88,239,30.3,92,216,90.0,8.6,104.0
10.0,2.0,6:00,173,84,185,29.0,83,238,103.5,10.5,98.9
10.5,2.09,5:29,162,88,181,25.9,91,221,98.8,9.6,103.0
11.0,2.18,5:22,153,89,202,24.0,93,215,95.1,9.1,104.5
11.5,2.27,5:23,148,89,213,24.0,93,215,94.5,9.0,104.2
12.0,2.37,5:20,147,89,214,23.1,94,217,91.5,8.8,104.6
12.5,2.46,5:13,146,90,207,21.0,96,208,92.0,8.7,105.7
13.0,2.56,4:56,147,93,225,20.0,101,206,90.0,8.4,108.5
13.5,2.67,4:54,159,93,234,20.0,102,197,76.3,7.0,109.0
14.0,2.76,5:16,167,89,218,20.0,95,209,85.7,8.1,105.4
14.5,2.86,4:59,170,92,234,20.8,100,202,85.6,7.9,108.1
15.0,2.96,4:54,169,93,257,22.7,102,200,76.8,7.0,109.1
15.5,3.06,5:20,171,89,244,25.1,94,218,87.0,8.3,104.8
16.0,3.15,5:14,170,90,251,27.9,95,217,91.0,8.6,105.6
16.5,3.24,5:59,171,83,211,29.7,84,231,96.8,9.6,99.2
17.0,3.33,5:47,167,86,176,26.9,88,237,104.0,10.5,100.6
17.5,3.42,5:19,149,89,195,24.2,94,214,94.6,9.1,104.9
18.0,3.51,5:22,150,89,214,24.0,93,215,92.2,8.8,104.4
18.5,3.6,5:24,148,89,213,23.1,93,216,91.9,8.8,104.2
19.0,3.7,5:23,149,89,213,21.8,93,213,93.7,9.0,104.3
19.5,3.79,5:18,149,89,200,19.5,96,214,93.5,9.0,105.9
20.0,3.92,4:02,155,93,283,19.5,121,189,84.4,6.5,132.1
20.5,4.01,4:23,170,93,267,20.0,96,185,77.8,6.2,122.1
21.0,4.13,5:06,172,91,222,20.0,121,208,86.4,8.2,107.8
21.5,4.25,4:26,172,92,276,20.9,116,196,84.0,6.8,122.7
22.0,4.38,4:15,172,91,296,23.3,131,187,85.3,6.7,128.3
22.5,4.47,4:54,173,91,272,26.4,89,196,86.1,7.3,111.9
23.0,4.55,6:20,174,89,215,29.2,80,220,80.3,9.0,87.1
23.5,4.61,8:27,152,83,126,28.1,64,269,102.3,14.9,70.8
24.0,4.7,7:10,131,86,133,25.0,83,256,97.8,12.4,80.3
24.5,4.78,5:48,131,90,186,23.4,87,225,91.7,9.8,95.6
25.0,4.86,5:46,145,89,199,23.0,75,221,90.9,9.3,97.2
25.5,4.96,5:51,147,88,196,22.2,100,221,92.6,9.5,96.5
26.0,5.05,6:01,147,88,180,20.5,90,231,92.6,9.9,93.9
26.5,5.08,5:40,147,88,193,19.2,36,223,92.1,9.4,99.4
