elapsed_min,km,pace,hr,cad,power,alt,moved_m,gct_ms,vo_mm,vr_pct,step_cm
0.0,0.07,7:09,85,82,170,9.2,68,240,79.8,9.0,85.3
0.5,0.15,5:59,112,88,228,12.1,83,231,94.0,10.0,94.2
1.0,0.25,5:24,127,89,235,14.6,96,217,92.3,9.1,103.4
1.5,0.32,5:48,132,88,203,15.0,73,227,96.0,9.4,97.6
2.0,0.37,8:29,121,83,132,15.3,54,306,75.3,11.5,67.4
2.5,0.44,7:08,116,86,161,15.0,71,299,81.1,9.9,81.5
3.0,0.53,6:16,121,88,180,15.9,87,260,85.3,9.8,89.7
3.5,0.63,5:37,126,89,204,16.0,95,221,94.5,9.6,99.2
4.0,0.72,5:22,135,89,214,16.0,96,218,93.3,9.0,104.1
4.5,0.82,5:17,140,89,217,15.6,98,213,95.2,9.0,106.3
5.0,0.92,5:08,142,89,224,15.1,98,210,95.9,8.8,108.5
5.5,1.01,5:11,149,91,231,16.0,96,209,88.7,8.3,106.0
6.0,1.11,5:12,154,91,224,16.5,96,208,85.2,8.1,105.3
6.5,1.2,5:16,156,90,219,17.0,94,209,87.7,8.3,105.1
7.0,1.3,5:10,157,90,222,17.0,94,209,90.2,8.5,106.8
7.5,1.39,5:28,159,92,194,14.1,96,211,87.5,8.8,98.9
8.0,1.49,5:06,158,91,179,7.5,100,207,83.1,7.8,107.6
8.5,1.58,5:00,161,91,224,6.1,88,204,85.7,7.9,109.3
9.0,1.69,4:58,163,90,222,4.8,113,208,89.2,8.0,111.0
9.5,1.79,4:56,164,89,238,5.0,101,206,93.0,8.3,113.0
10.0,1.89,4:57,163,90,232,5.0,100,203,91.7,8.2,111.7
10.5,2.0,4:59,162,90,231,5.0,100,206,92.8,8.4,111.3
11.0,2.09,5:07,161,90,224,5.0,99,209,91.9,8.4,108.6
11.5,2.19,4:57,163,90,231,5.0,98,208,89.7,8.0,112.5
12.0,2.29,4:59,163,89,230,5.3,102,208,93.3,8.3,112.9
12.5,2.4,4:48,162,91,239,5.4,107,204,88.5,7.7,114.6
13.0,2.5,4:46,158,90,246,5.2,101,201,89.8,7.7,116.0
13.5,2.6,4:49,158,90,239,5.5,102,201,92.3,8.0,114.6
14.0,2.7,5:00,158,89,231,5.5,96,206,87.5,7.8,111.6
14.5,2.79,5:15,158,89,208,3.6,94,212,92.7,8.6,106.5
15.0,2.89,5:14,160,90,248,5.9,96,212,91.4,8.6,106.3
15.5,2.99,5:10,159,89,237,7.5,102,211,90.9,8.5,107.9
16.0,3.1,4:56,157,90,231,7.2,106,207,92.9,8.3,112.0
16.5,3.2,4:51,158,89,237,7.1,100,206,88.2,7.6,115.6
17.0,3.3,4:55,159,89,234,7.0,100,209,95.5,8.3,114.2
17.5,3.4,4:55,158,89,234,7.7,102,206,92.0,8.1,113.5
18.0,3.5,4:53,158,90,235,8.0,102,205,86.3,7.6,113.6
18.5,3.61,4:45,159,89,241,8.0,106,201,95.6,8.2,117.6
19.0,3.71,4:45,158,90,241,7.2,105,205,86.7,7.4,116.7
19.5,3.82,4:44,158,90,243,7.4,105,199,86.1,7.4,116.8
20.0,3.92,4:43,157,91,244,7.8,106,198,86.5,7.4,116.2
20.5,4.03,4:48,156,90,239,7.2,102,202,84.5,7.3,115.6
21.0,4.13,4:54,153,89,237,7.8,100,204,89.6,7.8,114.5
21.5,4.23,4:57,156,89,240,8.4,101,209,89.0,7.9,113.3
