timestamp,position_lat,position_long,distance,speed,altitude,heart_rate,cadence,power,stance_time,vertical_oscillation,vertical_ratio,step_length,accumulated_power,activity_type,dev_effort_pace
2026-07-10T12:25:13+00:00,,,0.0,,,,,,,,,,,1,
2026-07-10T12:25:14+00:00,,,0.0,,,75,,,,,,,,1,
2026-07-10T12:25:15+00:00,,,0.0,,,77,,,,,,,,1,
2026-07-10T12:25:16+00:00,,,0.0,1.239,,77,,,0.0,0.0,0.0,660.0,,1,1.2380000352859497
2026-07-10T12:25:17+00:00,,,0.0,1.239,,76,,,0.0,0.0,0.0,650.0,,1,1.2380000352859497
2026-07-10T12:25:18+00:00,37.52408852800727,126.96278273127973,0.0,1.239,8.0,76,57,85,0.0,0.0,0.0,650.0,85,1,1.2380000352859497
2026-07-10T12:25:19+00:00,37.52407084219158,126.96279656141996,0.0,1.239,8.0,75,57,85,0.0,0.0,0.0,650.0,170,1,1.2380000352859497
2026-07-10T12:25:20+00:00,37.524061454460025,126.9627982378006,0.0,1.239,8.0,76,57,85,0.0,0.0,0.0,650.0,255,1,1.2380000352859497
2026-07-10T12:25:21+00:00,37.52405206672847,126.96279991418123,0.0,1.239,8.0,77,57,85,0.0,0.0,0.0,650.0,340,1,1.2380000352859497
2026-07-10T12:25:22+00:00,37.52404267899692,126.96280175819993,4.0,1.686,8.0,77,72,85,0.0,0.0,0.0,690.0,425,1,1.6859999895095825
2026-07-10T12:25:23+00:00,37.52399859018624,126.96279186755419,8.0,2.136,8.0,78,88,85,0.0,0.0,0.0,730.0,510,1,2.135999917984009
2026-07-10T12:25:24+00:00,37.523976881057024,126.96277795359492,12.0,2.417,8.0,79,87,116,0.0,0.0,0.0,830.0,626,1,2.4159998893737793
2026-07-10T12:25:25+00:00,37.52395525574684,126.96276403963566,16.0,2.697,9.0,79,87,147,0.0,0.0,0.0,930.0,773,1,2.697000026702881
2026-07-10T12:25:26+00:00,37.52393363043666,126.96275020949543,22.0,2.736,9.0,81,87,166,126.0,39.0,5.2,940.0,939,1,2.73799991607666
2026-07-10T12:25:27+00:00,37.52387219108641,126.9626893568784,28.0,2.778,9.0,82,86,186,253.0,78.0,10.5,960.0,1125,1,2.7799999713897705
2026-07-10T12:25:28+00:00,37.52385643310845,126.96266924031079,31.0,2.744,9.0,83,86,188,252.0,78.0,10.1,950.0,1313,1,2.8499999046325684
2026-07-10T12:25:29+00:00,37.52384075894952,126.96264912374318,34.0,2.711,9.0,84,86,191,252.0,79.0,9.8,940.0,1504,1,2.921999931335449
2026-07-10T12:25:30+00:00,37.52382516860962,126.96262900717556,37.0,2.697,9.0,85,86,198,251.0,79.0,9.5,930.0,1702,1,2.9049999713897705
2026-07-10T12:25:31+00:00,37.52378619275987,126.96258651092649,40.0,2.683,9.0,88,86,205,251.0,80.0,9.2,930.0,1907,1,2.8910000324249268
2026-07-10T12:25:32+00:00,37.52377194352448,126.96258273907006,42.0,2.697,9.0,88,86,203,249.0,80.0,8.9,930.0,2110,1,2.9660000801086426
2026-07-10T12:25:33+00:00,37.52375786192715,126.96257905103266,44.0,2.711,10.0,89,87,202,248.0,81.0,8.7,930.0,2312,1,3.0409998893737793
2026-07-10T12:25:34+00:00,37.52374378032982,126.96257536299527,46.5,2.722,10.0,89,87,208,247.0,82.0,8.7,930.0,2520,1,3.052000045776367
2026-07-10T12:25:35+00:00,37.52370614558458,126.96256002411246,49.0,2.733,10.0,91,87,214,247.0,83.0,8.8,940.0,2734,1,3.065999984741211
2026-07-10T12:25:36+00:00,37.52369633875787,126.96254837326705,51.0,2.742,10.0,94,87,215,246.0,84.0,8.9,940.0,2949,1,3.0769999027252197
2026-07-10T12:25:37+00:00,37.52368653193116,126.96253663860261,53.0,2.753,10.0,96,88,216,245.0,85.0,9.0,950.0,3165,1,3.0880000591278076
2026-07-10T12:25:38+00:00,37.52367672510445,126.96252507157624,56.0,2.756,10.0,99,88,216,244.0,85.0,9.1,940.0,3381,1,3.0940001010894775
2026-07-10T12:25:39+00:00,37.5236501544714,126.96247586980462,59.0,2.758,10.0,100,89,217,243.0,86.0,9.2,930.0,3598,1,3.0989999771118164
2026-07-10T12:25:40+00:00,37.52364110201597,126.9624578487128,62.0,2.758,10.0,101,89,217,242.0,86.0,9.2,930.0,3815,1,3.1630001068115234
2026-07-10T12:25:41+00:00,37.52363204956055,126.96243982762098,65.0,2.761,11.0,102,90,218,241.0,86.0,9.3,930.0,4033,1,3.2300000190734863
2026-07-10T12:25:42+00:00,37.52362308092415,126.96242197416723,67.5,2.767,11.0,103,89,223,240.0,86.0,9.3,930.0,4256,1,3.240999937057495
2026-07-10T12:25:43+00:00,37.52359642647207,126.96236941963434,70.0,2.775,11.0,103,89,229,239.0,87.0,9.4,930.0,4485,1,3.252000093460083
2026-07-10T12:25:44+00:00,37.523587960749865,126.96235257200897,72.5,2.775,11.0,103,89,229,238.0,88.0,9.4,930.0,4714,1,3.252000093460083
2026-07-10T12:25:45+00:00,37.52357957884669,126.96233564056456,75.0,2.778,11.0,104,88,230,237.0,89.0,9.5,940.0,4944,1,3.252000093460083
2026-07-10T12:25:46+00:00,37.52357119694352,126.96231870912015,77.5,2.775,11.0,104,88,230,235.0,90.0,9.6,940.0,5174,1,3.246999979019165
2026-07-10T12:25:47+00:00,37.523543955758214,126.96227042935789,80.0,2.772,11.0,105,87,230,234.0,91.0,9.8,950.0,5404,1,3.240999937057495
2026-07-10T12:25:48+00:00,37.52353339456022,126.96225584484637,82.5,2.769,11.0,106,87,229,233.0,92.0,9.8,940.0,5633,1,3.174999952316284
2026-07-10T12:25:49+00:00,37.52352274954319,126.96224126033485,85.0,2.767,11.0,107,88,229,232.0,93.0,9.9,940.0,5862,1,3.1110000610351562
2026-07-10T12:25:50+00:00,37.523512188345194,126.9622265920043,88.0,2.764,11.0,108,87,224,231.0,93.0,9.9,940.0,6086,1,3.1050000190734863
2026-07-10T12:25:51+00:00,37.523475643247366,126.96218543685973,91.0,2.764,11.0,109,87,219,231.0,94.0,10.0,950.0,6305,1,3.0989999771118164
2026-07-10T12:25:52+00:00,37.52346307039261,126.96217085234821,94.0,2.761,11.0,109,87,218,231.0,94.0,10.0,940.0,6523,1,3.0989999771118164
2026-07-10T12:25:53+00:00,37.52345049753785,126.96215626783669,97.0,2.761,12.0,110,88,218,231.0,95.0,10.1,940.0,6741,1,3.0989999771118164
2026-07-10T12:25:54+00:00,37.523438008502126,126.96214159950614,100.0,2.756,12.0,111,88,218,230.0,95.0,10.1,940.0,6959,1,3.0940001010894775
2026-07-10T12:25:55+00:00,37.52339676953852,126.96209323592484,103.0,2.75,12.0,112,88,218,230.0,96.0,10.1,940.0,7177,1,3.0880000591278076
2026-07-10T12:25:56+00:00,37.523383274674416,126.96207764558494,106.5,2.758,12.0,112,88,217,229.0,96.0,10.1,940.0,7394,1,3.1630001068115234
2026-07-10T12:25:57+00:00,37.52336977981031,126.96206213906407,110.0,2.767,12.0,113,88,217,229.0,96.0,10.2,940.0,7611,1,3.240999937057495
