elapsed_min,km,pace,hr,cad,power,alt,moved_m,grade_pct,ngp
0.0,0.09,5:32,98,89,210,60.9,86,0.2,5:35
0.5,0.18,5:27,117,88,231,63.5,91,2.8,4:56
1.0,0.27,5:24,127,88,222,65.7,94,2.7,4:54
1.5,0.36,5:25,123,88,225,67.2,90,1.4,5:09
2.0,0.45,5:28,124,89,213,68.6,92,1.8,5:09
2.5,0.55,5:23,142,89,216,69.3,94,0.7,5:16
3.0,0.6,6:47,145,81,254,74.4,53,5.8,5:25
3.5,0.66,8:20,151,83,203,82.3,61,13.8,4:37
4.0,0.71,8:30,153,84,214,90.2,54,13.1,4:52
4.5,0.77,8:41,157,84,209,98.7,57,15.1,4:33
5.0,0.81,10:02,157,79,210,106.8,33,15.9,5:06
5.5,0.85,12:02,162,79,185,116.1,47,23.3,4:29
6.0,0.89,11:20,161,79,198,124.0,35,17.0,5:28
6.5,0.93,12:44,162,80,178,133.5,43,25.6,4:23
7.0,0.99,9:23,162,84,138,137.3,63,9.3,6:23
7.5,1.04,9:12,157,81,198,141.9,46,6.8,7:01
8.0,1.07,12:17,158,81,199,151.4,31,23.3,4:35
8.5,1.12,12:15,159,81,172,160.2,46,22.7,4:40
9.0,1.15,12:36,159,79,189,168.4,36,20.1,5:18
9.5,1.2,11:57,160,82,165,175.8,47,18.3,5:26
10.0,1.26,9:32,162,85,157,180.7,64,10.4,6:10
10.5,1.3,9:51,160,83,186,186.8,42,11.2,6:09
11.0,1.36,9:36,158,85,153,191.3,60,9.6,6:24
11.5,1.42,9:02,156,85,185,197.3,53,10.4,5:51
12.0,1.47,9:23,157,83,165,203.0,55,11.8,5:43
12.5,1.52,9:43,154,84,176,207.2,51,9.7,6:59
13.0,1.58,8:27,153,84,121,207.9,59,4.0,6:56
13.5,1.63,10:16,145,78,146,208.4,44,1.2,10:08
14.0,1.66,12:54,138,75,76,208.8,34,6.2,9:52
14.5,1.7,14:13,132,62,96,208.7,41,-5.5,14:09
15.0,1.75,10:52,137,84,87,205.2,43,-4.2,10:53
15.5,1.77,13:53,127,58,93,200.8,26,-21.1,11:16
16.0,1.81,11:57,137,61,169,207.5,41,15.2,6:09
16.5,1.89,6:59,144,86,155,207.6,76,2.9,6:18
17.0,1.92,9:09,144,59,148,209.8,28,4.1,8:04
17.5,1.99,6:04,139,82,189,210.1,75,0.6,5:58
18.0,2.06,7:01,144,87,202,213.8,72,4.5,5:51
18.5,2.15,6:37,150,86,193,217.0,82,4.7,5:32
19.0,2.2,6:19,151,85,205,218.2,55,1.1,6:04
19.5,2.25,10:01,156,82,197,225.7,48,13.7,5:29
20.0,2.28,13:28,155,62,150,232.7,31,21.9,5:40
20.5,2.33,10:44,148,78,100,233.7,46,7.8,8:22
21.0,2.39,7:46,139,93,121,226.6,65,-10.1,8:54
21.5,2.43,9:08,146,75,207,230.0,40,10.0,7:17
22.0,2.45,22:14,150,56,140,239.5,17,48.5,4:57
22.5,2.49,9:47,150,59,157,246.5,43,20.1,5:11
23.0,2.54,9:52,144,61,126,248.6,48,5.4,7:55
23.5,2.57,11:36,139,59,172,253.7,35,9.8,7:27
24.0,2.6,13:37,142,62,151,260.3,29,18.0,6:18
24.5,2.62,17:14,146,53,122,265.9,23,23.4,7:21
25.0,2.62,43:52,140,59,68,268.9,0,50.3,8:05
25.5,2.64,10:35,127,61,86,268.8,16,38.9,10:41
26.0,2.7,8:23,136,78,162,270.1,58,1.0,8:03
26.5,2.75,8:55,148,78,164,273.5,49,6.4,7:03
27.0,2.76,17:30,146,51,123,278.6,16,28.1,8:28
27.5,2.78,13:42,144,57,151,285.3,14,33.5,6:24
28.0,2.79,12:38,147,56,121,290.3,16,17.0,6:30
28.5,2.81,13:44,145,54,143,295.2,16,15.3,7:50
29.0,2.81,,141,47,,298.4,0,17.6,
29.5,2.81,,131,49,,299.0,0,17.6,
30.0,2.81,,124,62,,299.2,0,17.6,
30.5,2.81,,126,99,,298.6,0,17.6,
31.0,2.83,23:46,126,62,36,297.0,16,2.9,27:49
31.5,2.88,10:16,131,71,88,291.8,50,-10.2,11:56
32.0,2.96,6:48,131,86,153,288.7,82,-5.1,7:38
32.5,2.98,11:03,132,60,127,289.7,25,5.8,10:41
33.0,2.99,42:38,123,43,27,290.4,4,8.2,32:18
33.5,2.99,55:33,109,,22,290.6,5,2.1,51:44
34.0,2.99,,105,,,291.0,0,1.8,
34.5,3.04,8:46,107,84,106,289.5,49,-0.3,9:06
35.0,3.1,7:53,128,81,137,284.9,57,-8.4,9:09
35.5,3.17,7:36,134,83,119,279.3,70,-7.4,8:32
36.0,3.23,7:06,135,83,145,274.8,57,-6.8,8:12
36.5,3.25,11:46,133,56,126,274.9,29,-15.4,10:32
37.0,3.32,7:25,136,82,136,273.1,67,-0.8,7:25
37.5,3.35,11:29,134,66,100,272.5,30,-2.0,12:21
38.0,3.35,43:52,120,50,28,272.3,2,-5.4,52:03
38.5,3.35,,110,,,272.5,0,-5.7,
39.0,3.38,12:57,106,59,91,273.0,29,-0.4,12:18
39.5,3.39,13:00,112,57,101,273.9,8,2.1,12:18
40.0,3.39,,112,,,274.3,0,2.3,
40.5,3.39,,105,,,274.5,0,2.3,
41.0,3.39,,101,,,274.6,0,2.3,
41.5,3.42,11:19,105,59,98,274.4,29,-0.0,11:34
42.0,3.44,14:28,117,48,131,277.1,17,16.1,12:05
42.5,3.47,8:33,117,52,163,277.6,35,9.5,8:48
43.0,3.49,11:03,129,54,185,283.6,17,13.9,6:56
43.5,3.49,13:14,125,47,,285.1,5,18.3,12:56
44.0,3.52,15:10,115,47,127,287.9,29,6.8,11:32
44.5,3.57,13:19,126,63,130,293.2,48,15.4,7:04
45.0,3.59,17:00,137,64,134,299.4,23,23.1,7:00
45.5,3.62,19:26,141,66,150,306.9,25,28.6,6:08
46.0,3.64,21:35,147,45,146,315.6,19,39.3,4:58
46.5,3.66,14:49,150,50,141,322.1,20,37.7,6:13
47.0,3.66,41:40,145,46,71,325.0,2,63.5,7:40
47.5,3.67,22:16,136,53,116,328.5,14,19.1,14:56
48.0,3.67,,134,57,,330.9,0,50.0,
48.5,3.68,28:01,123,59,36,330.4,7,34.2,29:47
49.0,3.71,8:52,130,51,124,329.3,31,-3.3,9:27
49.5,3.73,15:52,123,59,91,330.5,18,7.5,14:08
50.0,3.74,20:11,117,64,60,331.3,8,16.9,17:05
50.5,3.76,12:29,112,79,73,328.9,27,-5.3,12:35
51.0,3.8,14:51,111,54,87,327.2,38,-11.2,14:50
51.5,3.83,13:26,122,52,144,332.0,24,11.6,8:16
52.0,3.84,16:26,127,50,98,336.0,12,18.5,8:58
52.5,3.84,31:06,116,53,71,337.8,4,15.5,20:12
53.0,3.85,26:19,103,43,51,337.9,9,1.8,24:58
53.5,3.85,52:45,104,56,57,338.2,0,-12.3,56:33
54.0,3.88,15:16,107,59,62,337.5,24,-3.1,15:58
54.5,3.92,9:40,113,65,93,331.6,43,-10.5,10:51
55.0,3.96,10:42,116,74,137,329.8,42,-7.0,11:27
55.5,3.98,11:38,121,60,121,333.4,21,21.6,8:24
56.0,4.01,14:26,126,52,159,339.4,27,19.3,7:05
56.5,4.02,21:50,133,51,134,347.0,10,36.3,6:01
57.0,4.05,14:02,136,57,83,350.2,29,13.6,7:46
57.5,4.05,28:48,129,54,45,350.0,5,-6.9,29:32
58.0,4.08,12:06,118,57,128,351.6,27,2.9,10:59
58.5,4.09,20:08,128,50,114,356.8,15,33.3,8:06
59.0,4.1,27:30,130,58,71,359.0,7,21.9,15:44
59.5,4.13,15:35,127,58,71,359.2,31,7.1,15:21
60.0,4.17,12:02,129,62,92,357.7,40,-3.7,13:17
60.5,4.2,12:48,118,63,164,362.4,29,8.9,8:31
61.0,4.23,12:59,136,48,164,370.2,29,21.4,5:19
61.5,4.26,14:52,141,52,156,377.3,34,21.3,5:59
62.0,4.3,13:02,139,58,145,383.7,39,17.5,6:07
62.5,4.33,11:58,131,60,85,385.3,30,20.5,8:11
63.0,4.36,8:57,123,55,147,384.1,30,-3.8,9:47
63.5,4.38,13:56,115,52,91,386.5,20,10.1,9:57
